campaign,comparison,n_seeds,compliance_n,compliance_direction,compliance_p,compliance_significant,reward_n,reward_direction,reward_p,reward_significant,precision_n,precision_direction,precision_p,precision_significant,disagree_with_reward,disagree_with_reward_kind,disagree_with_precision,disagree_with_precision_kind,disagree,disagree_kind,gap
M4,gat_ctde churn_sev2 vs own undisrupted baseline,10,10,positive,0.0625,False,10,positive,0.00390625,True,7,positive,0.0625,False,True,significance_flip,False,,True,significance_flip,
M4,gat_ctde churn_sev3 vs own undisrupted baseline,10,10,positive,0.15625,False,10,positive,0.00390625,True,7,positive,0.0625,False,True,significance_flip,False,,True,significance_flip,
M4,independent_dqn dropout_sev1 vs own undisrupted baseline,10,10,positive,1.0,False,10,positive,0.001953125,True,10,positive,0.001953125,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4,independent_dqn dropout_sev2 vs own undisrupted baseline,10,10,positive,1.0,False,10,positive,0.001953125,True,10,positive,0.001953125,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4,independent_dqn dropout_sev3 vs own undisrupted baseline,10,10,positive,0.25,False,10,positive,0.001953125,True,10,positive,0.001953125,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4,independent_dqn churn_sev1 vs own undisrupted baseline,10,10,positive,1.0,False,10,positive,0.083984375,False,10,positive,0.009765625,True,False,,True,significance_flip,True,significance_flip,
M4,independent_dqn churn_sev2 vs own undisrupted baseline,10,10,positive,1.0,False,10,positive,0.10546875,False,10,positive,0.009765625,True,False,,True,significance_flip,True,significance_flip,
M4,independent_dqn churn_sev3 vs own undisrupted baseline,10,10,positive,0.8125,False,10,positive,0.064453125,False,10,positive,0.00390625,True,False,,True,significance_flip,True,significance_flip,
M4,gat_ctde spike_sev1 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,gat_ctde spike_sev2 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,gat_ctde spike_sev3 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,independent_dqn spike_sev1 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,independent_dqn spike_sev2 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,independent_dqn spike_sev3 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,single_agent_dqn spike_sev1 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,single_agent_dqn spike_sev2 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,single_agent_dqn spike_sev3 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,fl_gat_ctde_sigma0.0 spike_sev1 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,fl_gat_ctde_sigma0.0 spike_sev2 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,fl_gat_ctde_sigma0.0 spike_sev3 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,single_agent_dqn dropout_sev1 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,single_agent_dqn dropout_sev2 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,single_agent_dqn dropout_sev3 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,single_agent_dqn churn_sev1 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,single_agent_dqn churn_sev2 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,single_agent_dqn churn_sev3 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,fl_gat_ctde_sigma0.0 dropout_sev1 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,fl_gat_ctde_sigma0.0 dropout_sev2 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,fl_gat_ctde_sigma0.0 dropout_sev3 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,fl_gat_ctde_sigma0.0 churn_sev1 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,fl_gat_ctde_sigma0.0 churn_sev2 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4,fl_gat_ctde_sigma0.0 churn_sev3 vs own undisrupted baseline,0,,,,,,,,,,,,,,,,,,,"raw per-seed omega_log.jsonl missing at official seeds 900-909; compliance-only available in m4_campaign/campaign_results.json; reward/precision exist only under the independently-seeded (1000-1009), not-git-tracked fresh_seed_retrain/m4_campaign/"
M4-supplementary(seeds1000s),"gat_ctde spike_sev1 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.125,False,10,negative,0.001953125,True,9,zero,nan,,True,significance_flip,True,direction_only,True,significance_flip,
M4-supplementary(seeds1000s),"gat_ctde spike_sev2 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.03125,True,10,negative,0.001953125,True,9,zero,nan,,False,,True,direction_only,True,direction_only,
M4-supplementary(seeds1000s),"gat_ctde spike_sev3 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.03125,True,10,negative,0.001953125,True,9,zero,nan,,False,,True,direction_only,True,direction_only,
M4-supplementary(seeds1000s),"independent_dqn spike_sev1 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.0625,False,10,negative,0.001953125,True,10,negative,0.15625,False,True,significance_flip,False,,True,significance_flip,
M4-supplementary(seeds1000s),"independent_dqn spike_sev2 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.0078125,True,10,negative,0.013671875,True,10,positive,0.6875,False,False,,True,significance_flip,True,significance_flip,
M4-supplementary(seeds1000s),"independent_dqn spike_sev3 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.0078125,True,10,negative,0.001953125,True,10,positive,0.5625,False,False,,True,significance_flip,True,significance_flip,
M4-supplementary(seeds1000s),"single_agent_dqn spike_sev1 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.25,False,10,positive,0.083984375,False,9,positive,1.0,False,True,direction_only,True,direction_only,True,direction_only,
M4-supplementary(seeds1000s),"single_agent_dqn spike_sev2 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.125,False,10,negative,0.083984375,False,9,positive,1.0,False,False,,True,direction_only,True,direction_only,
M4-supplementary(seeds1000s),"single_agent_dqn spike_sev3 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.125,False,10,negative,0.083984375,False,9,positive,1.0,False,False,,True,direction_only,True,direction_only,
M4-supplementary(seeds1000s),"fl_gat_ctde_sigma0.0 spike_sev1 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.25,False,10,negative,0.001953125,True,8,zero,nan,,True,significance_flip,True,direction_only,True,significance_flip,
M4-supplementary(seeds1000s),"fl_gat_ctde_sigma0.0 spike_sev2 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.03125,True,10,negative,0.001953125,True,8,zero,nan,,False,,True,direction_only,True,direction_only,
M4-supplementary(seeds1000s),"fl_gat_ctde_sigma0.0 spike_sev3 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,negative,0.03125,True,10,negative,0.001953125,True,8,zero,nan,,False,,True,direction_only,True,direction_only,
M4-supplementary(seeds1000s),"single_agent_dqn dropout_sev1 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,positive,0.0625,False,10,positive,0.02734375,True,9,positive,0.00390625,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4-supplementary(seeds1000s),"single_agent_dqn dropout_sev2 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,positive,0.0625,False,10,positive,0.00390625,True,9,positive,0.00390625,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4-supplementary(seeds1000s),"single_agent_dqn dropout_sev3 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,positive,0.09375,False,10,positive,0.001953125,True,9,positive,0.00390625,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4-supplementary(seeds1000s),"single_agent_dqn churn_sev1 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,0,n/a,nan,,0,n/a,nan,,0,n/a,nan,,,,,,False,,
M4-supplementary(seeds1000s),"single_agent_dqn churn_sev2 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,0,n/a,nan,,0,n/a,nan,,0,n/a,nan,,,,,,False,,
M4-supplementary(seeds1000s),"single_agent_dqn churn_sev3 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,0,n/a,nan,,0,n/a,nan,,0,n/a,nan,,,,,,False,,
M4-supplementary(seeds1000s),"fl_gat_ctde_sigma0.0 dropout_sev1 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,positive,0.5,False,10,positive,0.001953125,True,8,positive,0.0078125,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4-supplementary(seeds1000s),"fl_gat_ctde_sigma0.0 dropout_sev2 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,positive,0.5,False,10,positive,0.001953125,True,8,positive,0.0078125,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4-supplementary(seeds1000s),"fl_gat_ctde_sigma0.0 dropout_sev3 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,positive,0.5,False,10,positive,0.001953125,True,8,positive,0.0078125,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4-supplementary(seeds1000s),"fl_gat_ctde_sigma0.0 churn_sev1 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,positive,1.0,False,10,positive,0.00390625,True,8,positive,0.0625,False,True,significance_flip,False,,True,significance_flip,
M4-supplementary(seeds1000s),"fl_gat_ctde_sigma0.0 churn_sev2 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,positive,1.0,False,10,positive,0.00390625,True,8,positive,0.0625,False,True,significance_flip,False,,True,significance_flip,
M4-supplementary(seeds1000s),"fl_gat_ctde_sigma0.0 churn_sev3 vs own undisrupted baseline [fresh_seed_retrain, seeds 1000-1009]",10,10,positive,1.0,False,10,positive,0.00390625,True,8,positive,0.0625,False,True,significance_flip,False,,True,significance_flip,
M6,"gat_ctde vs single_agent_dqn, N=19 hex",12,12,negative,0.0078125,True,12,negative,0.91015625,False,0,n/a,nan,,True,significance_flip,,,True,significance_flip,
M6,"gat_ctde vs single_agent_dqn, N=7 hex",3,3,negative,0.5,False,3,positive,0.5,False,1,n/a,nan,,True,direction_only,,,True,direction_only,
M6,"gat_ctde vs single_agent_dqn, N=19 ring",12,12,negative,0.015625,True,12,negative,0.7421875,False,0,n/a,nan,,True,significance_flip,,,True,significance_flip,
M6,"gat_ctde vs single_agent_dqn, N=7 ring",3,3,negative,0.25,False,3,positive,0.25,False,1,n/a,nan,,True,direction_only,,,True,direction_only,
M6,"gat_ctde vs single_agent_dqn, N=19 fully_connected",12,12,negative,0.015625,True,12,negative,0.7421875,False,0,n/a,nan,,True,significance_flip,,,True,significance_flip,
M6,"gat_ctde vs single_agent_dqn, N=7 fully_connected",3,3,negative,0.25,False,3,positive,0.25,False,1,n/a,nan,,True,direction_only,,,True,direction_only,
